image,question,answer
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=400x501 at 0x183660496D0>,is the brain atrophied or shrunk?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=323x322 at 0x18366049810>,are there fractures on the skull?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=444x566 at 0x18366049950>,is there any lesion to bone structures?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1310 at 0x18366049A90>,is the heart a normal size?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1310 at 0x18366049BD0>,is the heart size normal?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=589x623 at 0x18366049D10>,can a pulmonary mass be appreciated?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=589x623 at 0x18366049E50>,is a pulmonary mass present?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1024 at 0x18366049F90>,are there at least 8 ribs visible for good inspiratory effort?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1500 at 0x1836604A0D0>,is this a solid or cystic lesion?,solid
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1500 at 0x1836604A210>,is the lesion a solid or cystic lesion?,solid
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1023 at 0x1836604A350>,is this in the pa plane?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=589x623 at 0x1836604A490>,is there anything abnormal about the heart size?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=589x623 at 0x1836604A5D0>,is the heart enlarged?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1156 at 0x1836604A710>,is this patient male or female?,female
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1156 at 0x1836604A850>,what is the likely sex of this patient?,female
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=388x542 at 0x1836604A990>,is the cerebellum present in the image?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1310 at 0x1836604AAD0>,can this image highlight bone fractures (if present)?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=781x703 at 0x1836604AC10>,can you appreciate a pleural effusion?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=896x767 at 0x1836604AD50>,is this an image of the cerebellum,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=781x703 at 0x1836604AE90>,is a pleural effusion present?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x572 at 0x1836604AFD0>,do you see a subdural hematoma?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x572 at 0x1836604B110>,is there a subdural hematoma?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x645 at 0x1836604B250>,approximately how much time was required to obtain this image?,10-20 minutes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=781x703 at 0x1836604B390>,is the heart enlarged?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=781x703 at 0x1836604B4D0>,is the heart size increased?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x1836604B610>,is this a ring enhancing lesion?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x1836604B750>,is there ring-enhancement?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x1836604B890>,are the dark areas grey or white matter?,white matter
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x1836604B9D0>,the dark areas of the image show what type of brain matter?,white matter
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=556x635 at 0x1836604BB10>,is this a transverse section?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x572 at 0x1836604BC50>,which ventricles are visible?,lateral ventricles
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=388x542 at 0x1836604BD90>,is there a fracture?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=388x542 at 0x1836604BED0>,is a fracture present?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1193 at 0x1836607C050>,is this image sufficient for a diagnosis?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1193 at 0x1836607C190>,is the image enough to diagnose?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=341x428 at 0x1836607C2D0>,would you suspect abcess or cancer for this finding?,abscess
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=341x428 at 0x1836607C410>,is this an abscess or cancer?,abscess
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x645 at 0x1836607C550>,what are the dark areas at the top of the picture?,large bowel
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x645 at 0x1836607C690>,what is the dark space in the body cavity near the top of the image?,large bowel
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=589x623 at 0x1836607C7D0>,is there a right-sided pleural effusion?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1311 at 0x1836607C910>,is the patient's vertebral body indicative of normal aging?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=589x623 at 0x1836607CA50>,is there an effusion present on the right-side?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1023 at 0x1836607CB90>,do you see a pleural effusion?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1023 at 0x1836607CCD0>,is a pleural effusion present?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x1836607CE10>,are sections of bowel recognizable?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1310 at 0x1836607CF50>,is a pleural effusion present?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1310 at 0x1836607D090>,is there a pleural effusion?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x850 at 0x1836607D1D0>,is the heart size abnormal?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x850 at 0x1836607D310>,is the heart enlarged?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1310 at 0x1836607D450>,what can be typically visualized in this plane?,lungs 	bony thoracic cavit y	mediastinum and great vessels
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x645 at 0x1836607D590>,in what space/cavity is the abnormal organ located?,retroperitoneum; retroperitoneal space
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1311 at 0x1836607D6D0>,any observed degenerative changes in the vertebral body?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x1836607D810>,is the patient lying down?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x572 at 0x1836607D950>,how long does this imaging modality take to complete? (hours?	minutes?),~15 minutes	potentially faster with newer imaging systems
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1023 at 0x1836607DA90>,can you evaluate the kidneys 	bladde r	or ureters in this image?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x572 at 0x1836607DBD0>,can you appreciate a shift of the midline?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x572 at 0x1836607DD10>,is there a midline shift?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=781x703 at 0x1836607DE50>,can you diagnose a pericardial effusion from this image?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=781x703 at 0x1836607DF90>,is this image sufficient to diagnose pericardial effusion?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x572 at 0x1836607E0D0>,can a diagnosis or impression be made in this plane?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x1836607E210>,would perform this same modality in a patient with aki?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x1836607E350>,are abdominal fat pads prominently visualized?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x1836607E490>,is there evidence of herniation of the small bowel into the abdominal wall?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x1836607E5D0>,can you see the abdominal fat pads?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1156 at 0x1836607E710>,is there a pleural effusion present?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1156 at 0x1836607E850>,is there a pleural effusion,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1193 at 0x1836607E990>,did this patient sustain physical damage?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1193 at 0x1836607EAD0>,do you suspect a physical injury?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1500 at 0x1836607EC10>,can you see all of the ribs on the left side?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1500 at 0x1836607ED50>,can the left ribs be evaluated?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x850 at 0x1836607EE90>,can you appreciate a pleural effusion anywhere?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x850 at 0x1836607EFD0>,is pleural effusion present?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x1836607F110>,are adrenal glands present in this image?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x1836607F250>,is there evidence of an abdominal hernia?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x1836607F390>,can you see the adrenals?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=599x555 at 0x1836607F4D0>,did the problem originate in the brain?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=599x555 at 0x1836607F610>,do you suspect a primary brain process?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1310 at 0x1836607F750>,does the left humerus appear to be fractured?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1310 at 0x1836607F890>,is there a fracture of the left humerus?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x645 at 0x1836607F9D0>,can this plane detect an aortic aneurysm 	if present?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x581 at 0x1836607FB10>,can a diagnosis of appendicitis be made from this image?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x581 at 0x1836607FC50>,is this confirmed appendicitis?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1310 at 0x1836607FD90>,are both lungs abnormally inflated?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=388x542 at 0x1836607FED0>,can you visualize the 4th ventricle?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1105 at 0x1838C44C050>,are there air-fluid levels present on this ct radiograph?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=388x542 at 0x1838C44C190>,is the 4th ventricle present in this image?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1500 at 0x1838C44C2D0>,can a pleural effusion be appreciated on the right side?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1500 at 0x1838C44C410>,is there a right-sided pleural effusion?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x1838C44C550>,do you suspect a physical injury or a medical process?,medical process
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x1838C44C690>,what is the cause of this finding: medical process or physical injury?,medical process
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x572 at 0x1838C44C7D0>,does the skull appear fractured?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x572 at 0x1838C44C910>,is there a skull fracture?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=400x453 at 0x1838C44CA50>,what is the secondary pathology?,moderate edema
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=400x453 at 0x1838C44CB90>,what is the secondary abnormality in this image?,moderate edema
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=444x454 at 0x1838C44CCD0>,is this an anoxic injury?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1307 at 0x1838C44CE10>,what is not pictured in this image?,the extremities
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1105 at 0x1838C44CF50>,is there evidence of air fluid levels in the patient's bowel?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=444x454 at 0x1838C44D090>,is there anoxic brain infarction?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x842 at 0x1838C44D1D0>,does this image show heart failure?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x842 at 0x1838C44D310>,is this heart failure,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=925x1125 at 0x1838C44D450>,is the heart enlarged?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=925x1125 at 0x1838C44D590>,is there cardiomegaly?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x842 at 0x1838C44D6D0>,is this coronal plane?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=960x720 at 0x1838C44D810>,is the stomach wall thickened?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=960x720 at 0x1838C44D950>,is there thickening of the gastric wall?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x1838C44DA90>,what is the location of the mass,anterior to the transverse colon
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x1838C44DBD0>,where is the mass located?,anterior to the transverse colon
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x747 at 0x1838C44DD10>,have brain structures crossed the midline of the brain?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=329x434 at 0x1838C44DE50>,is this an axial plane image,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1248 at 0x1838C44DF90>,is there a lung mass?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1248 at 0x1838C44E0D0>,is there a mass in the lung?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=847x643 at 0x1838C44E210>,is there a bowel obstrution,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=847x643 at 0x1838C44E350>,is the bowel obstructed?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=337x411 at 0x1838C44E490>,is there hemorrhage?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=337x411 at 0x1838C44E5D0>,is hemorrhage seen?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=400x453 at 0x1838C44E710>,what is the primary abnormality in this image?,ring enhancing lesion in the left occipital lobe
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=400x453 at 0x1838C44E850>,what is the primary pathology,ring enhancing lesion in the left occipital lobe
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x1838C44E990>,is the peritoneum thickened?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x747 at 0x1838C44EAD0>,is there evidence of midlight shift of structures on this mri?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x1838C44EC10>,is there thickening of the peritoneum?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x1838C44ED50>,is this mass located in the liver?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x1838C44EE90>,is this a hepatic mass?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x510 at 0x1838C44EFD0>,the pathology is located in which lobes of the brain?,parietal and occipital lobes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x510 at 0x1838C44F110>,which lobes demonstrate pathology,parietal and occipital lobes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=337x411 at 0x1838C44F250>,what is the likely pathology?,pres
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=337x411 at 0x1838C44F390>,what is the most likely cause of these abnormalities?,pres
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1118 at 0x1838C44F4D0>,does this constitute a pulmonary pathology?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=337x411 at 0x1838C44F610>,what organ system is displayed?,cns
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x691 at 0x1838C44F750>,are the sulci blunted?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=986x1200 at 0x1838C44F890>,was this taken in pa position?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x691 at 0x1838C44F9D0>,is there blunting of the sulci?,yes
